adapter,dataset,items,unique_sids,d2_aliasing_rate,d3_l1_weighted,d4_tail_unique_ratio,d5_active_prefix_counts,source_evidence,release_status
LETTER,LETTER_Instruments,9922,9897,0.0048377343277565005,0.10857744697362917,0.9984880556395525,150/6702/9608/9897,_gate0_artifacts/artifact_refresh_20260527/letter_instruments_official_metrics/*.csv,public upstream artifact; adapter released
LC-Rec,LCRec_Instruments,9922,9897,0.0048377343277565005,0.05236873800009071,0.9984880556395525,162/6996/9172/9897,_gate0_artifacts/lcrec_official_instruments_metrics/*.csv,public upstream artifact; adapter released
ReSOT text-index,Instruments,6250,6250,0.0,0.06290584415584416,1.0,83/3645/5729/6250,experiments/v1_evidence_chain/runs/R759_resot_text_index_intake.json,released archive artifact; adapter released; no-license-detected caveat
DIGER RQ-VAE,beauty,12101,11581,0.0704074043467482,0.028346161066266192,0.981651376146789,256/9650/11581,experiments/v1_evidence_chain/runs/R763_diger_rqvae_intake.json,official-code-derived artifact; adapter released; no-license-detected caveat
