artifact,items,sid_depth,d1_level1_symbols,d2_collision_item_rate,d3_depth1_weighted,d4_tail_unique_ratio,d5_unique_full_codes,source_evidence
ReSID-GAOQ / Video,"24,685",3,32,0.000,0.213,1.000,"24,685",docs/reproducibility/conformance/resid_gaoq_video_report.json
GRID / P5 Beauty,"12,101",3,256,0.205,0.038,0.957,"10,619",docs/reproducibility/conformance/grid_p5_beauty_report.json
CARD / P5 Beauty,"12,101",4,256,0.000,0.023,1.000,"12,098",docs/reproducibility/conformance/card_p5_beauty_report.json
DIGER / Beauty,"12,101",3,256,0.070,0.028,0.982,"11,581",docs/reproducibility/conformance/diger_beauty_report.json
DIGER / Yelp,"20,033",3,256,0.102,0.010,0.941,"18,705",docs/reproducibility/conformance/diger_yelp_report.json
ReSOT / Instruments,"6,250",4,83,0.000,0.063,1.000,"6,250",docs/reproducibility/conformance/resot_instruments_report.json
LETTER / Instruments,"9,922",4,150,0.005,0.108,0.998,"9,897",docs/reproducibility/conformance/letter_instruments_report.json
LC-Rec / Instruments,"9,922",4,162,0.005,0.055,0.998,"9,897",docs/reproducibility/conformance/lcrec_instruments_report.json
